IKL,2021,2020,2019,2018,2017
Artikel i tidskrift: Övrigt vetenskapligt,12,15,15,19,11
Artikel i tidskrift: Refereegranskat,78,66,58,60,52
"Artikel, forskningsöversikt: Övrigt vetenskapligt",0,1,0,0,0
"Artikel, forskningsöversikt: Refereegranskat",1,1,1,1,0
"Artikel, recension: Övrigt vetenskapligt",7,13,12,7,10
Bok: Övrigt vetenskapligt,5,5,9,7,3
Bok: Refereegranskat,2,5,3,2,3
"Doktorsavhandling, monografi: Övrigt vetenskapligt",8,4,1,4,6
"Doktorsavhandling, sammanläggning: Övrigt vetenskapligt",1,0,2,0,1
"Kapitel i bok, del av antologi: Övrigt vetenskapligt",60,82,58,39,81
"Kapitel i bok, del av antologi: Refereegranskat",40,25,18,33,28
Konferensbidrag: Övrigt vetenskapligt,0,9,1,0,0
Konferensbidrag: Refereegranskat,1,3,4,1,5
Rapport: Övrigt vetenskapligt,4,2,5,2,4
Samlingsverk (redaktörskap): Övrigt vetenskapligt,6,11,9,8,9
Samlingsverk (redaktörskap): Refereegranskat,5,4,2,6,6
