PublicationType,2021,2020,2019,2018,2017
Artikel i tidskrift: Övrigt vetenskapligt,26,45,38,49,34
Artikel i tidskrift: Refereegranskat,222,214,210,200,204
"Artikel, forskningsöversikt: Övrigt vetenskapligt",0,1,1,1,0
"Artikel, forskningsöversikt: Refereegranskat",5,5,5,3,1
"Artikel, recension: Övrigt vetenskapligt",27,27,35,24,28
Bok: Övrigt vetenskapligt,14,14,16,13,16
Bok: Refereegranskat,3,10,6,9,10
"Doktorsavhandling, monografi: Övrigt vetenskapligt",13,10,4,10,17
"Doktorsavhandling, sammanläggning: Övrigt vetenskapligt",5,2,5,1,6
"Kapitel i bok, del av antologi: Övrigt vetenskapligt",137,179,139,98,147
"Kapitel i bok, del av antologi: Refereegranskat",112,75,82,70,77
Konferensbidrag: Övrigt vetenskapligt,1,12,1,2,5
Konferensbidrag: Refereegranskat,13,15,14,14,18
"Licentiatavhandling, monografi: Övrigt vetenskapligt",1,0,1,1,0
"Licentiatavhandling, sammanläggning: Övrigt vetenskapligt",0,0,1,0,0
Rapport: Övrigt vetenskapligt,19,16,22,13,23
Rapport: Refereegranskat,0,1,2,1,1
Samlingsverk (redaktörskap): Övrigt vetenskapligt,16,23,16,15,21
Samlingsverk (redaktörskap): Refereegranskat,13,12,12,9,10
